,Weat,Weates,RND,RIPA,ECT,RNSB,solver
0,0.14907715464173216,0.7058352661315956,0.058879340444327154,0.015027274,0.5757498673948799,0.013514545009993219,auto
1,0.05566179042110897,0.23669242065888163,0.015320716649595001,0.009694023,0.7433524728134567,0.027320348318135085,auto
2,0.05646701354640653,0.3673957988755082,0.01791008180772559,0.010888903,0.8266540510209839,0.012161829947667803,randomized
3,0.054027435864014706,0.3843575937374338,0.00856146509146563,0.018522983,0.9228501656667714,0.010701630363994833,randomized
4,0.09281091444794393,0.4376754981661356,0.02296572850276672,0.021246849,0.5954963328398722,0.014684608788810598,auto
5,0.036941062757968025,0.3887816523654442,0.012381471799139983,0.017063525,0.8401094521558936,0.022793882068878803,randomized
6,0.0694252826708682,0.5246683979126746,0.023675098209308038,0.021044323,0.8635737823695576,0.031452141399834654,auto
7,0.0792760266949058,0.5846666792862601,0.02295223084847785,0.028193844,0.44298645732777703,0.043741730211395866,randomized
8,0.05718406800127946,0.40415036189015635,0.01608256051469888,0.015152459,0.9064825000121859,0.018887294815877215,arpack
9,0.100203220027107,0.6267876096694049,0.022486428468797365,0.014538825,0.7558927979763869,0.03959136463616681,auto
